,Category_0,Category_1,Category_2,Category_3,Category_4,Category_5,Rating,Reviews,Size,Installs,Free,Price,Avalible_age,Genres_0,Genres_1,Genres_2,Genres_3,Genres_4,Genres_5,Genres_6
0,0,0,0,0,0,1,4.1,159,19000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,3.9,967,14000000.0,500000,0,0.0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,4.7,87510,8700000.0,5000000,0,0.0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,1,4.5,215644,25000000.0,50000000,0,0.0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,1,4.3,967,2800000.0,100000,0,0.0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,1,4.4,167,5600000.0,50000,0,0.0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,1,3.8,178,19000000.0,50000,0,0.0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,1,4.1,36815,29000000.0,1000000,0,0.0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,1,4.4,13791,33000000.0,1000000,0,0.0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,1,4.7,121,3100000.0,10000,0,0.0,0,0,0,0,0,0,1,1
10,0,0,0,0,0,1,4.4,13880,28000000.0,1000000,0,0.0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,1,4.4,8788,12000000.0,1000000,0,0.0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,1,4.2,44829,20000000.0,10000000,0,0.0,1,0,0,0,0,0,0,1
13,0,0,0,0,0,1,4.6,4326,21000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,1,4.4,1518,37000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,1,4.7,3632,5500000.0,500000,0,0.0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,1,4.5,27,17000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,1,4.3,194216,39000000.0,5000000,0,0.0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,1,4.6,224399,31000000.0,10000000,0,0.0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,1,4.0,450,14000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
21,0,0,0,0,0,1,4.1,654,12000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,1,4.7,7699,4200000.0,500000,0,0.0,1,0,0,0,0,0,0,1
24,0,0,0,0,0,1,4.7,118,23000000.0,50000,0,0.0,0,0,0,0,0,0,0,1
25,0,0,0,0,0,1,4.8,192,6000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,1,4.7,20260,25000000.0,500000,0,0.0,0,0,0,0,0,0,1,1
27,0,0,0,0,0,1,4.1,203,6100000.0,100000,0,0.0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,1,3.9,136,4600000.0,10000,0,0.0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,1,4.1,223,4200000.0,100000,0,0.0,0,0,0,0,0,0,0,1
30,0,0,0,0,0,1,4.2,1120,9200000.0,100000,0,0.0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,1,4.1,227,5200000.0,50000,0,0.0,0,0,0,0,0,0,0,1
32,0,0,0,0,0,1,4.5,5035,11000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
33,0,0,0,0,0,1,4.2,1015,11000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,1,4.7,353,4200000.0,10000,0,0.0,1,0,0,0,0,0,0,1
35,0,0,0,0,0,1,3.8,564,9200000.0,100000,0,0.0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,1,4.7,8145,24000000.0,500000,0,0.0,0,0,0,0,0,0,1,1
37,0,0,0,0,0,1,4.1,36639,24000000.0,5000000,0,0.0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,1,4.7,158,11000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,1,4.0,591,9400000.0,500000,0,0.0,0,0,0,0,0,0,0,1
40,0,0,0,0,0,1,4.2,117,15000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,1,4.5,176,10000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,1,4.4,295221,10000000.0,10000000,0,0.0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,1,3.8,2206,1200000.0,100000,0,0.0,0,0,0,0,0,0,1,1
44,0,0,0,0,0,1,4.2,26,12000000.0,10000,0,0.0,0,0,0,0,0,0,0,1
45,0,0,0,0,0,1,4.7,174531,24000000.0,10000000,0,0.0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,1,4.6,1070,26000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
