,Category,Rating,Reviews,Size,Installs,Free,Price,Avalible_age,Genres
0,ART_AND_DESIGN,4.1,159,19000000.0,10000,0,0.0,0,Art & Design
1,ART_AND_DESIGN,3.9,967,14000000.0,500000,0,0.0,0,Art & Design;Pretend Play
2,ART_AND_DESIGN,4.7,87510,8700000.0,5000000,0,0.0,0,Art & Design
3,ART_AND_DESIGN,4.5,215644,25000000.0,50000000,0,0.0,1,Art & Design
4,ART_AND_DESIGN,4.3,967,2800000.0,100000,0,0.0,0,Art & Design;Creativity
5,ART_AND_DESIGN,4.4,167,5600000.0,50000,0,0.0,0,Art & Design
6,ART_AND_DESIGN,3.8,178,19000000.0,50000,0,0.0,0,Art & Design
7,ART_AND_DESIGN,4.1,36815,29000000.0,1000000,0,0.0,0,Art & Design
8,ART_AND_DESIGN,4.4,13791,33000000.0,1000000,0,0.0,0,Art & Design
9,ART_AND_DESIGN,4.7,121,3100000.0,10000,0,0.0,0,Art & Design;Creativity
10,ART_AND_DESIGN,4.4,13880,28000000.0,1000000,0,0.0,0,Art & Design
11,ART_AND_DESIGN,4.4,8788,12000000.0,1000000,0,0.0,0,Art & Design
12,ART_AND_DESIGN,4.2,44829,20000000.0,10000000,0,0.0,1,Art & Design
13,ART_AND_DESIGN,4.6,4326,21000000.0,100000,0,0.0,0,Art & Design
14,ART_AND_DESIGN,4.4,1518,37000000.0,100000,0,0.0,0,Art & Design
16,ART_AND_DESIGN,4.7,3632,5500000.0,500000,0,0.0,0,Art & Design
17,ART_AND_DESIGN,4.5,27,17000000.0,10000,0,0.0,0,Art & Design
18,ART_AND_DESIGN,4.3,194216,39000000.0,5000000,0,0.0,0,Art & Design
19,ART_AND_DESIGN,4.6,224399,31000000.0,10000000,0,0.0,0,Art & Design
20,ART_AND_DESIGN,4.0,450,14000000.0,100000,0,0.0,0,Art & Design
21,ART_AND_DESIGN,4.1,654,12000000.0,100000,0,0.0,0,Art & Design
22,ART_AND_DESIGN,4.7,7699,4200000.0,500000,0,0.0,1,Art & Design
24,ART_AND_DESIGN,4.7,118,23000000.0,50000,0,0.0,0,Art & Design
25,ART_AND_DESIGN,4.8,192,6000000.0,10000,0,0.0,0,Art & Design
26,ART_AND_DESIGN,4.7,20260,25000000.0,500000,0,0.0,0,Art & Design;Creativity
27,ART_AND_DESIGN,4.1,203,6100000.0,100000,0,0.0,0,Art & Design
28,ART_AND_DESIGN,3.9,136,4600000.0,10000,0,0.0,0,Art & Design
29,ART_AND_DESIGN,4.1,223,4200000.0,100000,0,0.0,0,Art & Design
30,ART_AND_DESIGN,4.2,1120,9200000.0,100000,0,0.0,0,Art & Design
31,ART_AND_DESIGN,4.1,227,5200000.0,50000,0,0.0,0,Art & Design
32,ART_AND_DESIGN,4.5,5035,11000000.0,100000,0,0.0,0,Art & Design
33,ART_AND_DESIGN,4.2,1015,11000000.0,100000,0,0.0,0,Art & Design
34,ART_AND_DESIGN,4.7,353,4200000.0,10000,0,0.0,1,Art & Design
